Timestamp,What is the job title that best describes your role when using Xarray?,What field do you work in?,How did you hear about this survey?,How often do you use Xarray?,How many years have you been using Xarray?,How do you rate your level of Xarray proficiency?,"For your applications that use Xarray, how critical is Xarray?",Is Xarray stable enough for you?,What Xarray resources have you used for support in the last six months?,"Which of Xarray's core features are most important to you? [Label-based indexing, interpolation, groupby, reindexing, and computation]",Which of Xarray's core features are most important to you? [Reading and writing files],Which of Xarray's core features are most important to you? [Parallel computation with Dask],Which of Xarray's core features are most important to you? [Interoperability with Pandas],Which of Xarray's core features are most important to you? [Plotting],Where do you use Xarray? [Personal laptop],Where do you use Xarray? [Large workstation],Where do you use Xarray? [HPC cluster],Where do you use Xarray? [Cloud cluster],Interactive or batch? [Interactive:  I use Xarray with Jupyter or IPython when playing with data],Interactive or batch? [Batch: I use Xarray in scripts that run in the future],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [NetCDF 3*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [NetCDF 4*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Zarr*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [GRIB*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [GeoTIFF*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Python Pickle*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [HDF 4/5],"Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Other Image format (PNG, JPG, TIFF, etc.)]",Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Video (e.g. MP4)],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Database (e.g. MongoDB)],"Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Tensors (e.g. PyTorch, Tensorflow, NumPy)]",Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Other],"If you answered ""Other"" above, please list any additional formats:",How easy is it for you to upgrade to newer versions of Python libraries?,"What are some other libraries that you often use with Xarray? (e.g. ""dask, pandas, scikit-learn"") ",What would make Xarray even more useful for your work?,What development activities would help you most right now? [Bug fixes],What development activities would help you most right now? [More documentation],What development activities would help you most right now? [More examples in my domain],What development activities would help you most right now? [New features],What development activities would help you most right now? [Performance improvements],"What common feature requests do you care about most? [More flexible indexing (i.e. selection, alignment)]","What common feature requests do you care about most? [More flexible backend arrays (e.g. Dask, CuPy, Pint, Sparse)]","What common feature requests do you care about most? [More flexible file IO (e.g. netCDF, Zarr, DB)]",What common feature requests do you care about most? [Better physical unit support],What common feature requests do you care about most? [Better documentation / more examples from my field],"What common feature requests do you care about most? [Better interoperability with Machine Learning libraries (e.g. Scikit-learn, Tensorflow)]",Xarray supports multiple backend array types (e.g. NumPy and Dask). Rank your interest non-NumPy backend array support: [CuPy (GPU) arrays],Xarray supports multiple backend array types (e.g. NumPy and Dask). Rank your interest non-NumPy backend array support: [Sparse arrays],Xarray supports multiple backend array types (e.g. NumPy and Dask). Rank your interest non-NumPy backend array support: [Dask arrays],Xarray supports multiple backend array types (e.g. NumPy and Dask). Rank your interest non-NumPy backend array support: [Pint (unit-aware) arrays],Xarray supports multiple backend array types (e.g. NumPy and Dask). Rank your interest non-NumPy backend array support: [Other],"If you answered ""Other"" above, list any additional array types:",Xarray's documentation is due for a makeover. Rank the following set of possible changes based on your personal preferences: [Rewrite introductory material to be more generic (less focused on NetCDF and geoscience applications)],Xarray's documentation is due for a makeover. Rank the following set of possible changes based on your personal preferences: [A more modern web design],Xarray's documentation is due for a makeover. Rank the following set of possible changes based on your personal preferences: [Expanded set of domain-specific interactive tutorials],Xarray's documentation is due for a makeover. Rank the following set of possible changes based on your personal preferences: [Expanded set of generic examples for common workflow patterns],,
1/6/2021 8:45:16,"Educator, Domain scientist / researcher",Geosciences,Twitter,Most days,1,1,4,No,"Documentation (http://xarray.pydata.org/), Stack Overflow #python-xarray tag",5 (most),4,1 (least),2,3,Most days,,,Most days,Most days,Never,,Most days,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,1,Pandas,More documentation with realistic examples,Critical,Very useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Not relevant,Critical,Very useful,Not interested,Somewhat interested,Somewhat interested,Not interested,Not interested,,4 (lowest priority),3,1 (highest priority),2,,
1/6/2021 8:45:43,Domain scientist / researcher,"Geosciences, Statistics & Machine Learning",Mailing list,Most days,5,3,4,Yes,"Documentation (http://xarray.pydata.org/), GitHub issue trackers (raising a new issue), GitHub issue trackers (reading past issues)",5 (most),4,2,3,1 (least),Most days,Occasionally (~monthly),Never,Most days,Occasionally (~monthly),Most days,,Most days,Most days,Never,Never,Occasionally (~monthly),Regularly (~weekly),Never,Never,Never,Most days,,,1,"Gcsfs, zarr, pandas, Altair, toolz ","- Increased focus on “batch/production” applications:
  - Stable and static APIs w/ less magic.
  - introduce “schema” as a formal concept for input data validation
  - Integrations with non-dask compute platforms (or rethinking the special treatment that dask gets)
- Ability to write portions of a mutable storage backend. Currently xarray is hard to use as a database inside of ",Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Not relevant,Very useful,Very useful,Somewhat useful,Not relevant,Somewhat useful,Very interested,Very interested,Not interested,Somewhat interested,,,,,,,,
1/6/2021 8:50:59,"Student, Domain scientist / researcher","Geosciences, Statistics & Machine Learning",Friend,Most days,5,3,4,Yes,"Documentation (http://xarray.pydata.org/), GitHub issue trackers (reading past issues)",5 (most),4,3,2,1 (least),Occasionally (~monthly),Most days,Regularly (~weekly),Occasionally (~monthly),Most days,Occasionally (~monthly),Occasionally (~monthly),Most days,Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Never,Occasionally (~monthly),Never,Never,Never,Most days,,,3,"numpy, dask, pandas, geopandas","Specific, but a `groupby_fun` where you can specify the grouping function so you don't have to precompute a new variable or dimension for custom groupings would be nice.",Very useful,Somewhat useful,Not relevant,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Somewhat useful,Very useful,Very interested,Very interested,Very interested,Very interested,Very interested,Potentiality other number systems like posets?,3,4 (lowest priority),2,1 (highest priority),,
1/6/2021 8:51:37,"Domain scientist / researcher, Data scientist","Geosciences, Statistics & Machine Learning",Twitter,Regularly (~weekly),5,4,4,Yes,"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), Stack Overflow #python-xarray tag, GitHub issue trackers (raising a new issue), GitHub issue trackers (reading past issues), Github Discussions",5 (most),4,3,2,1 (least),Occasionally (~monthly),,Regularly (~weekly),,Occasionally (~monthly),Regularly (~weekly),,Regularly (~weekly),Never,Occasionally (~monthly),,Occasionally (~monthly),Never,Never,Never,Never,Never,Never,,1,"dask, pandas, geopandas, metpy",Faster computation,Very useful,Somewhat useful,Very useful,Very useful,Critical,Very useful,Very useful,Very useful,Somewhat useful,Very useful,Not relevant,Not interested,Not interested,Very interested,Somewhat interested,Not interested,,4 (lowest priority),3,2,1 (highest priority),,
1/6/2021 8:53:36,Student,Geosciences,Mailing list,Most days,3,2,3,Yes,,5 (most),4,1 (least),3,2,Most days,,,,Most days,Never,,Regularly (~weekly),,,,,,,,,,,,4,"pandas, statsmodels",Easier switching between variables and coordinates/dimensions,Somewhat useful,Very useful,Very useful,Very useful,Somewhat useful,Very useful,Not relevant,Somewhat useful,Not relevant,Very useful,Somewhat useful,Not interested,Somewhat interested,Somewhat interested,Not interested,,,4 (lowest priority),3,1 (highest priority),2,,
1/6/2021 8:54:29,"Student, Domain scientist / researcher","Biosciences, Statistics & Machine Learning",Twitter,Regularly (~weekly),2,4,2,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (http://xarray.pydata.org/), GitHub issue trackers (raising a new issue), GitHub issue trackers (reading past issues)",5 (most),4,2,3,1 (least),Regularly (~weekly),Never,Regularly (~weekly),Never,Regularly (~weekly),Regularly (~weekly),Never,Regularly (~weekly),Occasionally (~monthly),Never,Never,Never,Never,Never,Never,Never,Regularly (~weekly),Never,,4,"Pandas numpy matplotlib scikit-learn, pytorch",,,,,,Somewhat useful,,Somewhat useful,Somewhat useful,,,Somewhat useful,,,,,,,2,4 (lowest priority),3,1 (highest priority),,
1/6/2021 8:54:45,"Domain scientist / researcher, Data scientist","Geosciences, Statistics & Machine Learning",Twitter,Most days,3,4,4,Yes,"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), Stack Overflow #python-xarray tag, GitHub issue trackers (reading past issues)",5 (most),4,1 (least),2,3,Regularly (~weekly),Regularly (~weekly),Never,Most days,Most days,Most days,Never,Most days,Regularly (~weekly),Regularly (~weekly),Occasionally (~monthly),Never,Never,Never,Never,Never,Regularly (~weekly),Never,,4,"cartopy, Tensorflow, Pytorch",,Somewhat useful,Very useful,Very useful,Somewhat useful,Somewhat useful,Very useful,Not relevant,Very useful,Somewhat useful,Very useful,Critical,Somewhat interested,Not interested,Very interested,Somewhat interested,Not interested,,1 (highest priority),2,3,4 (lowest priority),,
1/6/2021 8:55:08,"Data scientist, Software engineer / developer",Geosciences,Pangeo NASA Access Slack (Joe Hamman),Most days,4,2,4,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (http://xarray.pydata.org/), GitHub issue trackers (reading past issues), Github Discussions",4,3,5 (most),2,1 (least),Most days,Never,Never,Most days,Most days,Most days,,Most days,Most days,,,,,,,,,,,4,"dask, pandas, geopandas, prefect, rechunker, numba",1) Being able to lazy load dimensions. 2) have a feature like dask dataframe read where user can specify filters and specify which variables to read (if they already know) before actually reading in data. I suspect this is more possible with zarr rather than other data formats...,Somewhat useful,Somewhat useful,Very useful,Critical,Very useful,Critical,Not relevant,Somewhat useful,Not relevant,Very useful,Somewhat useful,Very interested,Not interested,Very interested,Not interested,Not interested,,3,4 (lowest priority),2,1 (highest priority),,
1/6/2021 8:56:37,"Domain scientist / researcher, Data scientist, Software engineer / developer","Geosciences, Statistics & Machine Learning",Mailing list,Occasionally (~monthly),2,2,1,Yes,"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/)",5 (most),2,1 (least),3,4,Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Never,Occasionally (~monthly),Occasionally (~monthly),Never,Most days,Never,Never,Occasionally (~monthly),Never,Never,Never,Never,Never,Never,Never,,4,,"Making it behave more functionally, for example, if I have a 'time' coord and want a mean of some data f(time) in units of m/s, then it should be possible to get a functional mean, assuming the data is piece-wise constant and resolve the units. ",Very useful,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Not relevant,Not relevant,Critical,Somewhat useful,Somewhat useful,Somewhat interested,Somewhat interested,Somewhat interested,Very interested,,,3,4 (lowest priority),2,1 (highest priority),,
1/6/2021 8:59:45,Domain scientist / researcher,Geosciences,Friend,Regularly (~weekly),2,3,4,Yes,"Documentation (http://xarray.pydata.org/), Stack Overflow #python-xarray tag",5 (most),4,2,3,1 (least),Occasionally (~monthly),Regularly (~weekly),Occasionally (~monthly),Never,Regularly (~weekly),Occasionally (~monthly),Never,Regularly (~weekly),Never,Never,Occasionally (~monthly),Never,Occasionally (~monthly),Never,Never,Never,Never,Never,,4,"pandas, numpy",,Very useful,Very useful,Very useful,Somewhat useful,Somewhat useful,Critical,Somewhat useful,Somewhat useful,Very useful,Critical,Somewhat useful,Somewhat interested,Not interested,Somewhat interested,Not interested,Not interested,,3,4 (lowest priority),2,1 (highest priority),,
1/6/2021 9:03:33,"Domain scientist / researcher, Data scientist","Geosciences, Statistics & Machine Learning",Twitter,Most days,3,3,4,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), Stack Overflow #python-xarray tag, GitHub issue trackers (raising a new issue), GitHub issue trackers (reading past issues)",3,5 (most),4,1 (least),2,Most days,Most days,Most days,Occasionally (~monthly),Most days,Regularly (~weekly),,Most days,Occasionally (~monthly),Regularly (~weekly),Most days,Never,Occasionally (~monthly),Occasionally (~monthly),Never,Never,Regularly (~weekly),,,4,rioxarray,More libraries to interface with remote sensing data natively,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Critical,Very useful,Critical,Very useful,Very useful,Critical,Very interested,Somewhat interested,Very interested,Somewhat interested,,,2,4 (lowest priority),1 (highest priority),3,,
1/6/2021 9:06:17,"Domain scientist / researcher, Data scientist, Software engineer / developer","Geosciences, Statistics & Machine Learning",Twitter,Regularly (~weekly),1,2,0,Yes,"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/)",3,2,5 (most),1 (least),4,Regularly (~weekly),Regularly (~weekly),Occasionally (~monthly),Occasionally (~monthly),Regularly (~weekly),Regularly (~weekly),Never,Regularly (~weekly),Occasionally (~monthly),,Most days,Never,Regularly (~weekly),Occasionally (~monthly),Never,Never,Occasionally (~monthly),Never,,4,"rasterio,dask,pandas,scikit-learn","Easier block based processing that work at the block level, not at the pixel level. Might already be in there, but I don't find it obvious.",Critical,Very useful,Somewhat useful,Critical,Very useful,Somewhat useful,Critical,Critical,Not relevant,Somewhat useful,Very useful,Very interested,Not interested,Somewhat interested,Somewhat interested,Not interested,,1 (highest priority),4 (lowest priority),3,2,,
1/6/2021 9:07:13,Domain scientist / researcher,Geosciences,pangeo,Most days,3,3,4,Yes,"Documentation (http://xarray.pydata.org/), GitHub issue trackers (raising a new issue), GitHub issue trackers (reading past issues)",3,4,5 (most),1 (least),2,Occasionally (~monthly),Never,Most days,Never,Most days,Never,Occasionally (~monthly),Most days,Most days,Never,Occasionally (~monthly),Never,Never,Never,Never,Never,Never,Never,,4,"dask, pandas, numpy, scipy, matplotlib, cartopy","Improved performance for xarray treatment of large numbers of netcdf files. I may not have followed recent (2020) development on this topic.
dask dataframe - xarray dataarray conversions",Somewhat useful,Very useful,Very useful,Somewhat useful,Critical,Somewhat useful,Somewhat useful,Somewhat useful,Not relevant,Very useful,Very useful,Somewhat interested,Very interested,Very interested,Not interested,Not interested,,4 (lowest priority),3,2,1 (highest priority),,
1/6/2021 9:07:19,Software engineer / developer,Geosciences,Mailing list,Most days,4,3,3,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), GitHub issue trackers (raising a new issue), GitHub issue trackers (reading past issues), Github Discussions",2,4,5 (most),1 (least),3,Regularly (~weekly),Occasionally (~monthly),Most days,Occasionally (~monthly),Most days,Never,Occasionally (~monthly),Most days,Most days,Never,Occasionally (~monthly),Never,Most days,Never,Never,Never,Never,,,4,arviz,,Critical,Critical,Critical,Very useful,Critical,Very useful,Critical,Critical,Critical,Critical,Critical,Very interested,Very interested,Very interested,Very interested,Somewhat interested,awkward-arrays,2,1 (highest priority),3,4 (lowest priority),,
1/6/2021 9:07:45,Student,Geosciences,slack,Regularly (~weekly),2,3,3,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), Stack Overflow #python-xarray tag, GitHub issue trackers (reading past issues)",5 (most),3,4,2,1 (least),Regularly (~weekly),Occasionally (~monthly),Occasionally (~monthly),Never,Regularly (~weekly),Occasionally (~monthly),Never,Regularly (~weekly),Never,Never,Regularly (~weekly),Occasionally (~monthly),Occasionally (~monthly),Never,Never,Never,Occasionally (~monthly),Never,,4,"dask, pandas, numpy, hydrodata","more efficient regridding and reprojection, and support for more interpolation methods",Very useful,Somewhat useful,Very useful,Very useful,Critical,Critical,Critical,Very useful,Somewhat useful,Very useful,Very useful,Somewhat interested,Very interested,Very interested,Very interested,,,1 (highest priority),2,4 (lowest priority),3,,
1/6/2021 9:08:13,Software engineer / developer,,Twitter,Occasionally (~monthly),5,1,0,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), GitHub issue trackers (raising a new issue), GitHub issue trackers (reading past issues)",3,4,5 (most),1 (least),2,Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Never,Never,Occasionally (~monthly),Occasionally (~monthly),Never,Never,Never,Never,Never,Never,Never,Never,Never,,4,,GPU acceleration,Somewhat useful,Somewhat useful,Somewhat useful,"Somewhat useful, Very useful",Critical,Not relevant,Critical,Critical,Not relevant,Not relevant,Critical,Very interested,Somewhat interested,Very interested,Not interested,Not interested,,1 (highest priority),4 (lowest priority),3,2,,
1/6/2021 9:08:39,Student,"Biosciences, Geosciences",OceanHackWeek Slack,Most days,3,3,3,Yes,"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), Stack Overflow #python-xarray tag, GitHub issue trackers (raising a new issue), GitHub issue trackers (reading past issues)",5 (most),3,2,4,1 (least),Most days,Never,Occasionally (~monthly),Occasionally (~monthly),Most days,Occasionally (~monthly),,Most days,Occasionally (~monthly),Occasionally (~monthly),,,,Most days,Occasionally (~monthly),,,,,3,"the above, specifically numpy, matplotlib, pandas, scikit-learn, sometimes dask",,Very useful,Very useful,,,Very useful,Critical,Very useful,Very useful,Somewhat useful,Very useful,"Somewhat useful, Very useful",,Very interested,Very interested,,,,3,4 (lowest priority),2,1 (highest priority),,
1/6/2021 9:09:03,Software engineer / developer,"Geosciences, Logistics",Twitter,Regularly (~weekly),3,3,4,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (http://xarray.pydata.org/), Stack Overflow #python-xarray tag, GitHub issue trackers (reading past issues)",4,5 (most),3,2,1 (least),Regularly (~weekly),Regularly (~weekly),Never,Most days,Regularly (~weekly),Most days,Occasionally (~monthly),Most days,Most days,Most days,Regularly (~weekly),Never,Occasionally (~monthly),Most days,Never,Occasionally (~monthly),Never,,,3,"numpy, zarr, pandas, pint, metpy",,Very useful,Somewhat useful,Not relevant,Very useful,Critical,Very useful,Very useful,Critical,Critical,Somewhat useful,Somewhat useful,Somewhat interested,Not interested,Somewhat interested,Very interested,,,4 (lowest priority),3,2,1 (highest priority),,
1/6/2021 9:09:14,Domain scientist / researcher,Geosciences,Friend,Most days,6,3,4,Yes,"Documentation (http://xarray.pydata.org/), GitHub issue trackers (reading past issues), Github Discussions",5 (most),4,3,2,1 (least),Occasionally (~monthly),Regularly (~weekly),Most days,Never,Most days,Occasionally (~monthly),Never,Most days,Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Never,Never,Never,Never,Never,Occasionally (~monthly),annoying NASA binary formats,3,"dask, scikit-learn, matplotlib, seaborn, cartopy, scipy, numpy",Not deprecating function/features that my scripts from last year used. ,Very useful,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Critical,Somewhat useful,Critical,Somewhat useful,Somewhat useful,Somewhat useful,Not interested,Somewhat interested,Very interested,Somewhat interested,Not interested,,3,4 (lowest priority),2,1 (highest priority),,
1/6/2021 9:11:01,Student,Geosciences,Twitter,Most days,1,3,4,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), Stack Overflow #python-xarray tag, GitHub issue trackers (reading past issues)",2,3,5 (most),1 (least),4,Most days,Never,Most days,Never,Most days,Never,,Most days,Most days,,,,Regularly (~weekly),,,,,,,4,"Dask, numba, pyart, pandas",faster I/O operations for reading netcdf4/hdf files and converting those to zarr/netcdf for large datasets using dask etc.,Very useful,Very useful,Very useful,Critical,Critical,Very useful,Very useful,Critical,Critical,Very useful,Very useful,Not interested,Somewhat interested,Very interested,Very interested,,,3,4 (lowest priority),1 (highest priority),2,,
